	Desc	Paliwo	Stan	Rok	Przebieg	Cena
1163	BMW X3 I (E83) , Salon Polska, 174 KM, 4X4, Automat, Skóra, Xenon,	diesel	bezwypadkowy	2010.0	152448.0	45500.0
1164	BMW X3 II (F25) CB080GC # wersja xLine # Napęd xDrive # Automat # Zadbany #	diesel	sprawny	2016.0	69718.0	139799.0
1165	BMW SERIA 5 , Salon Polska, 1. Właściciel, 187 KM, Navi, Xenon, Bi-Xenon,	diesel	bezwypadkowy	2016.0	51425.0	92000.0
1166	BMW SERIA 3 III (E36) 320 320i 150 KM M PAKIET z Niemiec OPŁACONY	benzyna	sprawny	1996.0	245000.0	6500.0
1167	BMW SERIA 3 III (E36) 1.8 benz REJ PL Ważne Opłaty Drift Drag Sport Gwarancja Transport	benzyna	bezwypadkowy	1993.0	262000.0	1999.0
1168	BMW SERIA 5 525 Luxury/xDrive/SalonPolska/SerwisASO/MinPrzebieg/1-Właściciel/Fak	diesel	sprawny	2015.0	61700.0	147600.0
1169	BMW SERIA 3 IV (E46) 330 d 184 km pełny m pakiet.Zamienie na e 39	diesel	sprawny	2001.0	350000.0	12000.0
1170	BMW SERIA 5 2.0D XDrive Automat Lift Salon PL I Wł. Serwis	diesel	bezwypadkowy	2015.0	95020.0	114900.0
1171	BMW SERIA 1 , 1. Właściciel, Navi, Xenon, Bi-Xenon, Klima, Parktronic,	diesel	bezwypadkowy	2012.0	98994.0	40000.0
1173	BMW X3 II (F25) X DRIVE Panorama Pakiet Korzyści Możliwość Zamiany Wybór 120 aut	diesel	bezwypadkowy	2011.0	198000.0	59900.0
1174	BMW SERIA 5 Stan Perfekcyjny Nawigacja BEZPIECZNE ZAKUPY Krótko mówiąc Warto	diesel	bezwypadkowy	2011.0	221000.0	49900.0
1175	BMW SERIA 3 GT 1WŁ ASO Salon PL FV23% LED Nawi KeyLess Bezwypa	diesel	bezwypadkowy	2016.0	120000.0	91566.0
1176	BMW SERIA 1 FULL-Klima-PL-Elektr-Automat-Alu-SUPER Stan-Bezwypade-OKAZJA+Gwaranc	diesel	bezwypadkowy	2005.0	269000.0	17900.0
1177	BMW SERIA 5 520 F11 2.0D 184KM Kombi Automat -Navi -FILM VIDEO +Koła	diesel	sprawny	2010.0	251000.0	47900.0
1178	BMW X1 I (E84) xDrive18d Steptronic, xLine + Pakiety, Gwarancja x 5, PL, fv VAT 23	diesel	bezwypadkowy	2014.0	39000.0	84500.0
1179	BMW SERIA 3 320 2.0 163KM Full Serwis Bezwyp. Duża Navi Bi-Xenon Climatronic	diesel	bezwypadkowy	2010.0	137000.0	43900.0
1180	BMW SERIA 5 xDrive, Steptronic, Navi, Pakiety, Gwarancja x 5, salon PL, fv VAT 2	diesel	bezwypadkowy	2012.0	123000.0	69500.0
1181	BMW SERIA 5 Lift Steptronic Navi Panorama 2xPDC - Gwarancja Raty Zamiana	diesel	bezwypadkowy	2008.0	160000.0	34000.0
1182	BMW X4 II xDrive 20d / Najnowszy Model / M PAKIET / Diodowe reflektory	diesel	bezwypadkowy	2018.0	4050.0	219900.0
1183	BMW SERIA 5 530 530e iPerformance 252KM Hybryda, Gwarancja, Vat 23%	technologia	bezwypadkowy	2018.0	25000.0	209900.0
1184	BMW SERIA 6 Salon PL I-właściciel / Serwisowany w ASO / Bezwypadkowy	benzyna	bezwypadkowy	2011.0	159000.0	99900.0
